City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Saint Stephen,GB,50.3333,-4.9,55.4,100,75,18.41,mist
241,Frutigen,CH,46.5878,7.6475,39.99,88,100,3.0,moderate rain
242,Tasiilaq,GL,65.6145,-37.6368,30.2,93,90,52.93,heavy snow
243,Vrakhation,GR,37.959,22.8057,54.0,44,39,13.0,scattered clouds
244,Timbiqui,CO,2.7717,-77.6654,81.95,78,95,5.17,light rain
245,Ostrovnoy,RU,68.0531,39.5131,24.67,94,100,1.66,overcast clouds
246,Hajnowka,PL,52.7433,23.5812,48.0,57,94,2.08,overcast clouds
247,Havoysund,NO,70.9963,24.6622,30.2,69,40,13.8,scattered clouds
248,Ambovombe,MG,-25.1667,46.0833,77.25,77,4,18.9,light rain
249,Pafos,CY,34.7667,32.4167,62.6,72,20,4.61,few clouds
250,Khandbari,NP,27.3747,87.2039,62.67,48,20,2.98,few clouds
251,Weligama,LK,5.9667,80.4167,78.48,83,61,3.2,broken clouds
252,Kochevo,RU,59.5994,54.3125,26.83,94,100,9.35,overcast clouds
253,Roatan,HN,16.3244,-86.5366,82.99,78,0,18.41,clear sky
254,Kardla,EE,58.9978,22.7492,32.0,93,75,5.75,fog
255,Kemijarvi,FI,66.7131,27.4306,26.49,96,94,1.43,overcast clouds
256,Maraa,BR,-1.8333,-65.3667,83.46,85,98,3.47,overcast clouds
257,Rock Sound,BS,24.9,-76.2,73.54,62,59,6.93,broken clouds
258,Ponta Delgada,PT,37.7333,-25.6667,62.6,88,20,5.75,few clouds
259,Cravo Norte,CO,6.3017,-70.2041,91.63,44,97,11.63,overcast clouds
260,Los Amates,GT,15.2667,-89.1,80.6,61,20,1.99,few clouds
261,Jorochito,BO,-18.05,-63.4333,80.6,74,75,4.61,broken clouds
262,Puerto Padre,CU,21.195,-76.6028,80.6,57,40,13.8,scattered clouds
263,Castro,BR,-24.7911,-50.0119,78.46,64,27,2.35,scattered clouds
264,Havelock,US,34.8791,-76.9013,52.0,32,75,13.8,broken clouds
265,Punta Cardon,VE,11.6581,-70.215,81.63,67,68,18.41,broken clouds
266,Natal,BR,-5.795,-35.2094,87.8,62,40,14.97,scattered clouds
267,Farmington,US,36.7281,-108.2187,41.0,75,1,6.91,clear sky
268,Ancud,CL,-41.8697,-73.8203,62.01,77,75,2.3,broken clouds
269,La Asuncion,VE,11.0333,-63.8628,91.4,55,98,17.27,overcast clouds
270,Burayevo,RU,55.8407,55.4083,20.19,91,100,15.28,light snow
271,Sal Rei,CV,16.1833,-22.9167,78.8,47,0,13.8,clear sky
272,Tombouctou,ML,20.0,-3.0,90.88,12,0,8.5,clear sky
273,Oswego,US,43.4501,-76.1497,19.99,45,0,14.97,clear sky
274,Kapuskasing,CA,49.4169,-82.4331,10.4,47,0,8.05,clear sky
275,Kutum,SD,14.2,24.6667,90.28,7,0,11.54,clear sky
276,Almeirim,BR,-1.5233,-52.5817,88.5,55,94,4.5,overcast clouds
277,Mocuba,MZ,-16.8392,36.9856,75.72,88,12,3.89,few clouds
278,Achit,RU,56.7985,57.8994,17.64,91,100,8.19,overcast clouds
279,Atar,MR,20.5169,-13.0499,93.92,8,0,6.35,clear sky
280,Nanga Eboko,CM,4.6833,12.3667,87.12,46,10,4.45,clear sky
281,Ballina,AU,-28.8667,153.5667,71.6,60,100,13.8,overcast clouds
282,Kabare,CD,-2.4683,28.8242,66.65,88,14,2.42,light rain
283,Mwinilunga,ZM,-11.7358,24.4293,69.91,91,100,2.89,moderate rain
284,Parabel,RU,58.6978,81.4825,15.78,92,100,9.15,overcast clouds
285,Mortka,RU,59.3322,66.0214,23.58,91,100,8.39,overcast clouds
286,Bodden Town,KY,19.2833,-81.25,80.01,88,75,6.91,broken clouds
287,Leshukonskoye,RU,64.8989,45.7622,28.36,97,100,5.73,light snow
288,Kalmunai,LK,7.4167,81.8167,79.12,79,0,6.17,clear sky
289,Mpulungu,ZM,-8.7623,31.1141,74.79,82,0,2.62,clear sky
290,Chipinge,ZW,-20.1883,32.6236,66.2,91,23,4.38,few clouds
291,Talnakh,RU,69.4865,88.3972,-31.2,98,7,0.4,clear sky
292,Dukhovnitskoye,RU,52.4828,48.2137,17.04,92,55,10.67,broken clouds
293,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,94.39,39,100,6.53,overcast clouds
294,Daoukro,CI,7.0591,-3.9631,94.78,31,75,1.99,broken clouds
295,Aden,YE,12.7794,45.0367,79.18,69,1,18.19,clear sky
296,Manoel Urbano,BR,-8.8389,-69.2597,89.04,56,44,1.68,scattered clouds
297,Marienburg,PL,54.0359,19.0266,39.99,100,60,6.78,broken clouds
298,Bobrovka,RU,54.047,61.7455,12.29,81,17,11.39,few clouds
299,Palani,IN,10.4667,77.5333,79.36,47,4,9.42,clear sky
300,Volnoye,UA,47.6365,34.8139,51.8,46,0,6.71,clear sky
301,Adilabad,IN,19.6667,78.5333,84.47,19,0,4.59,clear sky
302,Areosa,PT,41.7178,-8.8571,69.01,52,0,12.66,clear sky
303,Shihezi,CN,44.3,86.0333,26.19,97,90,1.63,overcast clouds
304,Kayerkan,RU,69.3497,87.7602,-30.41,91,43,1.79,scattered clouds
305,Aguadilla,PR,18.4275,-67.1541,80.01,73,75,10.36,broken clouds
306,Evanston,US,42.0411,-87.6901,34.0,47,90,18.41,overcast clouds
307,Senanga,ZM,-16.1167,23.2667,79.2,62,49,5.08,scattered clouds
308,Boende,CD,-0.2167,20.8667,85.8,62,98,3.24,overcast clouds
309,Otavi,NA,-19.65,17.3333,73.92,63,83,2.91,light rain
310,Itaituba,BR,-4.2761,-55.9836,92.32,47,2,4.29,clear sky
311,Sechura,PE,-5.5569,-80.8222,82.51,53,76,5.44,broken clouds
312,Calabar,NG,4.9517,8.322,85.17,60,100,4.21,overcast clouds
313,Nawa,IN,27.0167,75.0,77.49,25,57,10.47,broken clouds
314,Letlhakeng,BW,-24.0944,25.0298,82.24,32,4,3.24,clear sky
315,Puerto Ayora,EC,-0.7393,-90.3518,82.0,83,40,5.75,scattered clouds
316,Chuy,UY,-33.6971,-53.4616,76.82,59,6,9.95,clear sky
317,Gweta,BW,-20.1833,25.2333,83.95,36,69,6.69,broken clouds
318,Fandriana,MG,-20.2333,47.3833,61.72,99,71,3.62,light rain
319,Presidente Prudente,BR,-22.1256,-51.3889,87.8,48,20,3.44,few clouds
320,Maragogi,BR,-9.0122,-35.2225,83.43,67,96,13.18,overcast clouds
321,Mbanza-Ngungu,CD,-5.25,14.8667,75.7,90,100,5.84,moderate rain
322,Bobo Dioulasso,BF,11.1771,-4.2979,96.8,24,0,5.75,dust
323,Vaasa,FI,63.096,21.6158,33.8,86,20,4.61,few clouds
324,San Julian,MX,21.0167,-102.1667,68.36,22,0,4.25,clear sky
325,Jarva-Jaani,EE,59.0386,25.8864,31.87,87,100,8.41,overcast clouds
326,Ribeira Brava,PT,32.65,-17.0667,68.0,56,20,16.11,few clouds
327,Heiligenhafen,DE,54.3667,10.9833,42.8,75,90,13.8,overcast clouds
328,Santa Catalina,PH,9.3337,122.8637,80.6,89,40,4.61,scattered clouds
329,Nauta,PE,-4.5061,-73.5757,87.19,63,88,2.17,overcast clouds
330,Vagay,RU,57.9375,69.0217,21.38,94,100,7.27,overcast clouds
331,Carauari,BR,-4.8828,-66.8958,80.91,79,99,3.09,light rain
332,Ernei,RO,46.605,24.6415,50.0,81,75,4.61,broken clouds
333,Namibe,AO,-15.1961,12.1522,80.6,69,75,12.66,broken clouds
334,Necochea,AR,-38.5473,-58.7368,80.4,41,78,8.88,light rain
335,Rafai,CF,4.95,23.9167,82.04,57,70,5.82,light rain
336,Parry Sound,CA,45.3501,-80.033,18.0,35,0,4.32,clear sky
337,Lukulu,ZM,-14.3707,23.242,78.37,70,38,3.76,scattered clouds
338,Albany,US,42.6001,-73.9662,24.01,27,0,5.99,clear sky
339,Kyshtovka,RU,56.555,76.6271,16.32,92,100,9.46,overcast clouds
340,Tazovskiy,RU,67.4667,78.7,-5.84,96,100,8.97,overcast clouds
341,Ovalle,CL,-30.5983,-71.2003,69.49,53,69,6.11,broken clouds
342,Ovre Ardal,NO,61.3167,7.8,37.4,60,75,10.36,broken clouds
343,Capreol,CA,46.706,-80.9225,17.01,40,1,4.61,clear sky
344,Miguel Calmon,BR,-11.4289,-40.595,88.43,34,46,7.67,scattered clouds
345,Codrington,AU,-38.2667,141.9667,58.55,82,75,8.5,broken clouds
